id,document_id,user_id,"created_at","updated_at"
296,296,7,"2017-06-05 13:06:25","2017-06-05 13:06:25"
297,297,3,"2017-06-05 14:27:47","2017-06-05 14:27:47"
298,298,7,"2017-06-05 16:27:39","2017-06-05 16:27:39"
299,299,9,"2017-06-05 17:03:55","2017-06-05 17:03:55"
300,300,7,"2017-06-05 18:41:42","2017-06-05 18:41:42"
301,301,9,"2017-06-05 20:44:31","2017-06-05 20:44:31"
302,302,9,"2017-06-05 20:57:07","2017-06-05 20:57:07"
303,303,7,"2017-06-05 21:45:32","2017-06-05 21:45:32"
304,304,16,"2017-06-06 17:02:49","2017-06-06 17:02:49"
305,305,7,"2017-06-06 18:41:51","2017-06-06 18:41:51"
306,306,7,"2017-06-06 18:43:29","2017-06-06 18:43:29"
307,307,30,"2017-06-06 18:46:34","2017-06-06 18:46:34"
308,308,30,"2017-06-06 18:48:20","2017-06-06 18:48:20"
309,309,16,"2017-06-06 19:12:39","2017-06-06 19:12:39"
310,310,87,"2017-06-06 19:34:44","2017-06-06 19:34:44"
311,311,7,"2017-06-06 19:44:59","2017-06-06 19:44:59"
312,312,7,"2017-06-06 19:49:16","2017-06-06 19:49:16"
313,313,108,"2017-06-06 19:53:30","2017-06-06 19:53:30"
314,314,108,"2017-06-06 19:59:14","2017-06-06 19:59:14"
315,315,2,"2017-06-06 20:01:45","2017-06-06 20:01:45"
316,316,112,"2017-06-06 20:10:28","2017-06-06 20:10:28"
317,317,112,"2017-06-06 20:16:28","2017-06-06 20:16:28"
318,318,111,"2017-06-06 21:17:26","2017-06-06 21:17:26"
319,319,1,"2017-06-07 13:52:57","2017-06-07 13:52:57"
320,320,5,"2017-06-07 15:37:57","2017-06-07 15:37:57"
321,321,5,"2017-06-07 15:38:47","2017-06-07 15:38:47"
322,322,5,"2017-06-07 21:52:52","2017-06-07 21:52:52"
323,323,7,"2017-06-07 21:54:38","2017-06-07 21:54:38"
324,324,30,"2017-06-08 17:37:46","2017-06-08 17:37:46"
325,325,70,"2017-06-08 20:17:50","2017-06-08 20:17:50"
326,326,2,"2017-06-09 17:38:12","2017-06-09 17:38:12"
327,327,117,"2017-06-12 15:39:30","2017-06-12 15:39:30"
328,328,4,"2017-06-12 20:13:30","2017-06-12 20:13:30"
329,329,70,"2017-06-12 20:25:52","2017-06-12 20:25:52"
330,330,2,"2017-06-13 14:35:10","2017-06-13 14:35:10"
331,331,9,"2017-06-13 15:15:43","2017-06-13 15:15:43"
332,332,32,"2017-06-13 20:20:52","2017-06-13 20:20:52"
333,333,32,"2017-06-13 20:22:22","2017-06-13 20:22:22"
334,334,124,"2017-06-15 17:06:11","2017-06-15 17:06:11"
335,335,66,"2017-06-16 15:19:14","2017-06-16 15:19:14"
336,336,30,"2017-06-17 01:40:03","2017-06-17 01:40:03"
337,337,122,"2017-06-20 20:31:03","2017-06-20 20:31:03"
338,338,122,"2017-06-20 20:33:04","2017-06-20 20:33:04"
339,339,122,"2017-06-20 20:33:04","2017-06-20 20:33:04"
